url	section	depth	language	type
https://ipc.gov.in/	(home)		en	other
https://ipc.gov.in/404-page-not-found.html	404-page-not-found	1	en	page
https://ipc.gov.in/8-category-en/633-stakeholder-comments.html	8-category-en	2	en	page
https://ipc.gov.in/PvPI/pv_home.html	PvPI	2	en	page
https://ipc.gov.in/about-us.html	about-us	1	en	page
https://ipc.gov.in/about-us/about-ipc.html	about-us	2	en	page
https://ipc.gov.in/about-us/about-ipc/annual-reports.html	about-us	3	en	page
https://ipc.gov.in/about-us/about-ipc/citizen-charter.html	about-us	3	en	page
https://ipc.gov.in/about-us/about-ipc/composition-of-ipc.html	about-us	3	en	page
https://ipc.gov.in/about-us/about-ipc/formation-of-ipc.html	about-us	3	en	page
https://ipc.gov.in/about-us/about-ipc/indian-pharmacopoeia-laboratory-ipl.html	about-us	3	en	page
https://ipc.gov.in/about-us/about-ipc/indian-pharmacopoeia-laboratory-ipl/analytical-support-for-skill-development-drug-discovery.html	about-us	4	en	page
https://ipc.gov.in/about-us/about-ipc/indian-pharmacopoeia-laboratory-ipl/new-drugs-testing.html	about-us	4	en	page
https://ipc.gov.in/about-us/about-ipc/ipc-bye-laws.html	about-us	3	en	page
https://ipc.gov.in/about-us/about-ipc/minutes-of-meeting-mom.html	about-us	3	en	page
https://ipc.gov.in/about-us/about-ipc/objectives-of-ipc.html	about-us	3	en	page
https://ipc.gov.in/about-us/accreditation-certification.html	about-us	2	en	page
https://ipc.gov.in/about-us/contact-us.html	about-us	2	en	page
https://ipc.gov.in/about-us/contact-us/facebook-twitter-youtube.html	about-us	3	en	page
https://ipc.gov.in/about-us/contact-us/route-map-of-ipc.html	about-us	3	en	page
https://ipc.gov.in/about-us/departments.html	about-us	2	en	page
https://ipc.gov.in/about-us/departments/administration.html	about-us	3	en	page
https://ipc.gov.in/about-us/departments/analytical-research-development-ar-d.html	about-us	3	en	page
https://ipc.gov.in/about-us/departments/analytical-research-development-ar-d/expression-of-interest-eoi-for-verification-testing-of-indian-pharmacopoeia-ip-monographs.html	about-us	4	en	page
https://ipc.gov.in/about-us/departments/biologics.html	about-us	3	en	page
https://ipc.gov.in/about-us/departments/finance-accounting.html	about-us	3	en	page
https://ipc.gov.in/about-us/departments/finance-accounting/audit.html	about-us	4	en	page
https://ipc.gov.in/about-us/departments/finance-accounting/budget.html	about-us	4	en	page
https://ipc.gov.in/about-us/departments/finance-accounting/cash-accounts.html	about-us	4	en	page
https://ipc.gov.in/about-us/departments/library-information-centre.html	about-us	3	en	page
https://ipc.gov.in/about-us/departments/microbiology.html	about-us	3	en	page
https://ipc.gov.in/about-us/departments/pharmacology.html	about-us	3	en	page
https://ipc.gov.in/about-us/departments/phytopharmaceuticals.html	about-us	3	en	page
https://ipc.gov.in/about-us/departments/publication.html	about-us	3	en	page
https://ipc.gov.in/about-us/departments/quality-assurance.html	about-us	3	en	page
https://ipc.gov.in/about-us/departments/quality-assurance/accreditation-certification.html	about-us	4	en	page
https://ipc.gov.in/about-us/departments/quality-assurance/expression-of-interest-eoi-form-for-the-testing-laboratories-to-validate-the-ip-reference-substances-iprs.html	about-us	4	en	page
https://ipc.gov.in/about-us/departments/quality-assurance/other-activities.html	about-us	4	en	page
https://ipc.gov.in/about-us/departments/quality-assurance/overview-of-quality-assurance-department.html	about-us	4	en	page
https://ipc.gov.in/about-us/departments/quality-assurance/proficiency-testing-division.html	about-us	4	en	page
https://ipc.gov.in/about-us/departments/quality-assurance/training-skill-development.html	about-us	4	en	page
https://ipc.gov.in/about-us/departments/reference-standard.html	about-us	3	en	page
https://ipc.gov.in/about-us/departments/store.html	about-us	3	en	page
https://ipc.gov.in/about-us/events.html	about-us	2	en	page
https://ipc.gov.in/about-us/expert-committees-working-groups.html	about-us	2	en	page
https://ipc.gov.in/about-us/list-of-employees.html	about-us	2	en	page
https://ipc.gov.in/about-us/media-new.html	about-us	2	en	page
https://ipc.gov.in/about-us/media-new/audio-visual-gallery.html	about-us	3	en	page
https://ipc.gov.in/about-us/media-new/ipc-in-news-media.html	about-us	3	en	page
https://ipc.gov.in/about-us/media-new/news-highlights.html	about-us	3	en	page
https://ipc.gov.in/about-us/media-new/photo-gallery.html	about-us	3	en	page
https://ipc.gov.in/about-us/media-new/press-release.html	about-us	3	en	page
https://ipc.gov.in/about-us/media-new/progress-of-alrc.html	about-us	3	en	page
https://ipc.gov.in/about-us/media-new/virtual-tour-of-ipc.html	about-us	3	en	page
https://ipc.gov.in/about-us/message-from-minister-of-health-family-welfare-and-chemicals-fertilizers.html	about-us	2	en	page
https://ipc.gov.in/about-us/message-from-the-secretary-cum-scientific-director.html	about-us	2	en	page
https://ipc.gov.in/about-us/message-of-the-hon-ble-minister-of-state-for-health-family-welfare-and-chemicals-fertilizers.html	about-us	2	en	page
https://ipc.gov.in/about-us/mou-collaborations-achievements.html	about-us	2	en	page
https://ipc.gov.in/about-us/organisational-chart.html	about-us	2	en	page
https://ipc.gov.in/careers.html	careers	1	en	page
https://ipc.gov.in/careers/careers_archive.html	careers	2	en	page
https://ipc.gov.in/component/search/	component	3	en	other
https://ipc.gov.in/covid-19-updates.html	covid-19-updates	1	en	page
https://ipc.gov.in/e-services.html	e-services	1	en	page
https://ipc.gov.in/e-services/cough-syrup-testing-export-sample.html	e-services	2	en	page
https://ipc.gov.in/e-services/ip-online.html	e-services	2	en	page
https://ipc.gov.in/e-services/iprs-impurities.html	e-services	2	en	page
https://ipc.gov.in/e-services/supply-order-forms.html	e-services	2	en	page
https://ipc.gov.in/employees-corner.html	employees-corner	1	en	page
https://ipc.gov.in/employees-corner/application-forms.html	employees-corner	2	en	page
https://ipc.gov.in/faq.html	faq	1	en	page
https://ipc.gov.in/hi/	(home)		hi	other
https://ipc.gov.in/hi/404-page-not-found.html	404-page-not-found	1	hi	page
https://ipc.gov.in/hi/employees-corner.html	employees-corner	1	hi	page
https://ipc.gov.in/hi/news-highlights.html	news-highlights	1	hi	page
https://ipc.gov.in/hi/अन्य-वेबसाइटों-के-लिंक.html	अन्य-वेबसाइटों-के-लिंक	1	hi	page
https://ipc.gov.in/hi/आदेश-परिपत्र-और-नोटिस.html	आदेश-परिपत्र-और-नोटिस	1	hi	page
https://ipc.gov.in/hi/ई-सेवाएं.html	ई-सेवाएं	1	hi	page
https://ipc.gov.in/hi/करियर.html	करियर	1	hi	page
https://ipc.gov.in/hi/जनादेश/कौशल-विकास.html	जनादेश	2	hi	page
https://ipc.gov.in/hi/निविदाएं.html	निविदाएं	1	hi	page
https://ipc.gov.in/hi/सूचना-का-अधिकार.html	सूचना-का-अधिकार	1	hi	page
https://ipc.gov.in/hi/हमारे-बारे-में.html	हमारे-बारे-में	1	hi	page
https://ipc.gov.in/icmed-certification.html	icmed-certification	1	en	page
https://ipc.gov.in/images/29.08.2025_Phytopharmaceutical-Drugs-General-Guidance-for-Development.pdf	images	2	en	other
https://ipc.gov.in/images/Impuritie_List.pdf	images	2	en	other
https://ipc.gov.in/images/List-of-IP-Reference-Substances.pdf	images	2	en	other
https://ipc.gov.in/images/pdf/File298.pdf	images	3	en	other
https://ipc.gov.in/images/pdf/File788.pdf	images	3	en	other
https://ipc.gov.in/images/pdf/IP_Prednisone_-9583111884.pdf	images	3	en	other
https://ipc.gov.in/mandates.html	mandates	1	en	page
https://ipc.gov.in/mandates/analytical-services.html	mandates	2	en	page
https://ipc.gov.in/mandates/icmed-certification.html	mandates	2	en	page
https://ipc.gov.in/mandates/indian-pharmacopoeia.html	mandates	2	en	page
https://ipc.gov.in/mandates/indian-pharmacopoeia/about-ip.html	mandates	3	en	page
https://ipc.gov.in/mandates/indian-pharmacopoeia/distribution-network-for-ip.html	mandates	3	en	page
https://ipc.gov.in/mandates/indian-pharmacopoeia/general-guidance-for-phytopharmaceutical-drugs-development.html	mandates	3	en	page
https://ipc.gov.in/mandates/indian-pharmacopoeia/general-notices-of-ip.html	mandates	3	en	page
https://ipc.gov.in/mandates/indian-pharmacopoeia/guidance-documents-for-stakeholders.html	mandates	3	en	page
https://ipc.gov.in/mandates/indian-pharmacopoeia/guideline-for-formatting-of-monographs.html	mandates	3	en	page
https://ipc.gov.in/mandates/indian-pharmacopoeia/indian-pharmacopoeia-2014-and-its-addenda.html	mandates	3	en	page
https://ipc.gov.in/mandates/indian-pharmacopoeia/indian-pharmacopoeia-2018-and-its-addenda.html	mandates	3	en	page
https://ipc.gov.in/mandates/indian-pharmacopoeia/indian-pharmacopoeia-2022.html	mandates	3	en	page
https://ipc.gov.in/mandates/indian-pharmacopoeia/indian-pharmacopoeia-ip-2026.html	mandates	3	en	page
https://ipc.gov.in/mandates/indian-pharmacopoeia/ip-reference-spectra.html	mandates	3	en	page
https://ipc.gov.in/mandates/indian-pharmacopoeia/ip-review-process.html	mandates	3	en	page
https://ipc.gov.in/mandates/indian-pharmacopoeia/meeting-of-expert-working-groups.html	mandates	3	en	page
https://ipc.gov.in/mandates/indian-pharmacopoeia/monographs-inclusion-exclusion-criteria.html	mandates	3	en	page
https://ipc.gov.in/mandates/indian-pharmacopoeia/monographs.html	mandates	3	en	page
https://ipc.gov.in/mandates/indian-pharmacopoeia/monographs/monographs-for-comments.html	mandates	4	en	page
https://ipc.gov.in/mandates/indian-pharmacopoeia/monographs/monographs-under-preparation.html	mandates	4	en	page
https://ipc.gov.in/mandates/indian-pharmacopoeia/proforma-invoice-of-ip-publication.html	mandates	3	en	page
https://ipc.gov.in/mandates/indian-pharmacopoeia/sop-for-development-of-ip-monograph.html	mandates	3	en	page
https://ipc.gov.in/mandates/materiovigilance-programme-of-india-mvpi.html	mandates	2	en	page
https://ipc.gov.in/mandates/materiovigilance-programme-of-india-mvpi/about-us.html	mandates	3	en	page
https://ipc.gov.in/mandates/materiovigilance-programme-of-india-mvpi/enrolment-form-for-mvpi.html	mandates	3	en	page
https://ipc.gov.in/mandates/materiovigilance-programme-of-india-mvpi/mah-enrolment-form.html	mandates	3	en	page
https://ipc.gov.in/mandates/materiovigilance-programme-of-india-mvpi/mdmc-updates.html	mandates	3	en	page
https://ipc.gov.in/mandates/materiovigilance-programme-of-india-mvpi/mvpi-internship-programme.html	mandates	3	en	page
https://ipc.gov.in/mandates/materiovigilance-programme-of-india-mvpi/mvpi-resource-material.html	mandates	3	en	page
https://ipc.gov.in/mandates/materiovigilance-programme-of-india-mvpi/mvpi-sops.html	mandates	3	en	page
https://ipc.gov.in/mandates/materiovigilance-programme-of-india-mvpi/mvpi-toolkit.html	mandates	3	en	page
https://ipc.gov.in/mandates/national-formulary-of-india-nfi.html	mandates	2	en	page
https://ipc.gov.in/mandates/national-formulary-of-india-nfi/about-iprs.html	mandates	3	en	page
https://ipc.gov.in/mandates/national-formulary-of-india-nfi/effective-use-of-iprs.html	mandates	3	en	page
https://ipc.gov.in/mandates/national-formulary-of-india-nfi/impurity-coa.html	mandates	3	en	page
https://ipc.gov.in/mandates/national-formulary-of-india-nfi/ip-prednisone-tablet-dissolution-apparatus-calibrator-is-available-at-ipc,-ghaziabad.html	mandates	3	en	page
https://ipc.gov.in/mandates/national-formulary-of-india-nfi/iprs-coa.html	mandates	3	en	page
https://ipc.gov.in/mandates/national-formulary-of-india-nfi/list-of-ip-phytochemical-reference-substances-available-at-ipc,-ghaziabad.html	mandates	3	en	page
https://ipc.gov.in/mandates/national-formulary-of-india-nfi/reference-microbial-cultures-available-at-mtcc,-chandigarh.html	mandates	3	en	page
https://ipc.gov.in/mandates/national-formulary-of-india-nfi/reference-standard-biotech-product-available-at-nib,-noida.html	mandates	3	en	page
https://ipc.gov.in/mandates/nfi.html	mandates	2	en	page
https://ipc.gov.in/mandates/nfi/about-nfi.html	mandates	3	en	page
https://ipc.gov.in/mandates/nfi/contents-list-for-nfi-2016.html	mandates	3	en	page
https://ipc.gov.in/mandates/nfi/national-formulary-of-india-nfi-2021-amendment-errata-lists.html	mandates	3	en	page
https://ipc.gov.in/mandates/nfi/nfi-monograph-chapter-appendices-development-checklist-version-1.html	mandates	3	en	page
https://ipc.gov.in/mandates/nfi/procurement-of-nfi-2016.html	mandates	3	en	page
https://ipc.gov.in/mandates/nfi/procurement-of-nfi-2021.html	mandates	3	en	page
https://ipc.gov.in/mandates/nfi/release-of-national-formulary-of-india-2021.html	mandates	3	en	page
https://ipc.gov.in/mandates/nfi/salient-features-of-nfi-2016.html	mandates	3	en	page
https://ipc.gov.in/mandates/pvpi/adr-monitoring-centers.html	mandates	3	en	page
https://ipc.gov.in/mandates/pvpi/adr-reporting.html	mandates	3	en	page
https://ipc.gov.in/mandates/pvpi/cdsco-alerts.html	mandates	3	en	page
https://ipc.gov.in/mandates/pvpi/news-events.html	mandates	3	en	page
https://ipc.gov.in/mandates/pvpi/orders-circulars.html	mandates	3	en	page
https://ipc.gov.in/mandates/pvpi/pharmacovigilance-skill-development-programme.html	mandates	3	en	page
https://ipc.gov.in/mandates/pvpi/publications.html	mandates	3	en	page
https://ipc.gov.in/mandates/pvpi/pvpi-outcome.html	mandates	3	en	page
https://ipc.gov.in/mandates/pvpi/pvpi-toolkit.html	mandates	3	en	page
https://ipc.gov.in/mandates/pvpi/pvpi-updates.html	mandates	3	en	page
https://ipc.gov.in/mandates/pvpi/training-and-education.html	mandates	3	en	page
https://ipc.gov.in/mandates/skill-development.html	mandates	2	en	page
https://ipc.gov.in/monograph-inclusion-request-form/submissions.html	monograph-inclusion-request-form	2	en	page
https://ipc.gov.in/news-archive.html	news-archive	1	en	page
https://ipc.gov.in/news-highlights.html	news-highlights	1	en	page
https://ipc.gov.in/news-highlights/1091-ipc-notices-and-updates.html	news-highlights	2	en	page
https://ipc.gov.in/news-highlights/1465-amendments-in-biotechnology-derived-therapeutic-products-monographs.html	news-highlights	2	en	page
https://ipc.gov.in/news-highlights/1466-applications-open-mvpi-internship-programme-2026.html	news-highlights	2	en	page
https://ipc.gov.in/news-highlights/1467-applications-are-invited-for-filling-four-posts-of-scientific-assistant.html	news-highlights	2	en	page
https://ipc.gov.in/news-highlights/1471-registrations-open-national-capacity-building-programme-on-materiovigilance-system-in-india.html	news-highlights	2	en	page
https://ipc.gov.in/news-highlights/1472-conference-on-ensuring-quality-of-blood-and-blood-components-through-ip-2026.html	news-highlights	2	en	page
https://ipc.gov.in/news-highlights/1473-walk-in-interview-for-filling-up-of-the-vacant-position-for-lab-attendant-at-indian-pharmacopoeia-commission-ipc-,-an-autonomous-organization-under-the-ministry-of-health-family-welfare,-ghaziabad,-through-outsourcing-manpower-providing-agency-2.html	news-highlights	2	en	page
https://ipc.gov.in/news-highlights/1474-internship-opportunity-who-collaborating-centre-activities,-indian-pharmacopoeia-commission.html	news-highlights	2	en	page
https://ipc.gov.in/news-highlights/1475-application-are-invited-for-in-person-brainstorming-session-on-“building-a-comprehensive-ecosystem-for-patient-safety-ensuring-quality-of-medicines,-medical-devices-and-blood-products-in-india”.html	news-highlights	2	en	page
https://ipc.gov.in/news-highlights/1476-ipc-newsletter-vol-2-2025.html	news-highlights	2	en	page
https://ipc.gov.in/news-highlights/1477-indian-pharmacopoeia-2026-amendment-lists.html	news-highlights	2	en	page
https://ipc.gov.in/news-highlights/1478-1st-annual-pharmacopoeial-meet-stakeholder-s-contribution-award.html	news-highlights	2	en	page
https://ipc.gov.in/news-highlights/1479-walk-in-interview-is-going-to-be-held-on-15th-july-2026-for-filling-up-of-the-vacant-post-of-receptionist-in-indian-pharmacopoeia-commission-ipc.html	news-highlights	2	en	page
https://ipc.gov.in/news-highlights/1480-applications-are-invited-for-the-engagement-of-contractual-position-of-fireman-for-filling-up-of-the-vacant-positions-at-indian-pharmacopoeia-commission-ipc.html	news-highlights	2	en	page
https://ipc.gov.in/news-highlights/1481-call-for-experts-join-ipc’s-it-expert-committee-for-strengthening-ipc’s-digital-initiatives-in-alignment-with-digital-india-mission.html	news-highlights	2	en	page
https://ipc.gov.in/news-highlights/1482-registrations-now-open-applications-are-invited-for-38th-skill-development-programme-on-pharmacovigilance-scheduled-from-17th-21st-august-2026.html	news-highlights	2	en	page
https://ipc.gov.in/news-highlights/1483-the-indian-pharmacopoeia-commission,-an-autonomous-institute-of-mohfw,-goi-invites-quotations-on-gem-portal-government-e-marketplace-from-eligible-and-qualified-vendors-for-digitalization-of-the-national-formulary-of-india-nfi.html	news-highlights	2	en	page
https://ipc.gov.in/news-highlights/1484-notice-on-release-of-10th-edition-of-the-indian-pharmacopoeia-ip-2026.html	news-highlights	2	en	page
https://ipc.gov.in/news-highlights/1485-applications-are-invited-for-the-contractual-positions-of-scientific-consultant-and-pharmacopoeial-associate-grade-i-at-the-indian-pharmacopoeia-commission-ipc.html	news-highlights	2	en	page
https://ipc.gov.in/news-highlights/1486-national-conference-on-quality-and-safety-of-biosimilars-strengthening-india-s-biopharma-shakti-vision-to-be-held-on-10-11th-september-2026-at-bengaluru.html	news-highlights	2	en	page
https://ipc.gov.in/news-highlights/1487-result-of-the-selection-process-for-the-post-of-senior-scientific-officer.html	news-highlights	2	en	page
https://ipc.gov.in/news-highlights/1490-corrigendum-related-to-gem-tender-notice-digitalization-of-the-national-formulary-of-india-nfi.html	news-highlights	2	en	page
https://ipc.gov.in/news-highlights/1491-scientific-conclave-interactive-session-on-indian-pharmacopoeia-2026.html	news-highlights	2	en	page
https://ipc.gov.in/news-highlights/1492-applications-are-invited-for-in-person-for-the-brainstorming-session-on-ai-powered-pharmacopoeia-standards-development-pharmacovigilance-practices-”.html	news-highlights	2	en	page
https://ipc.gov.in/news-highlights/1496-registrations-are-open-for-the-6th-national-pharmacovigilance-week-campaign-on-21st-september,-2026-at-bhim-hall,-dr-ambedkar-international-centre,-new-delhi.html	news-highlights	2	en	page
https://ipc.gov.in/news-highlights/1501-draft-revision-contains-ip-monographs-general-chapters-for-comments.html	news-highlights	2	en	page
https://ipc.gov.in/news-highlights/1502-scientific-conclave-and-interactive-session-on-indian-pharmacopoeia-ip-2026-advancing-quality,-safety,-and-innovation-in-drugs,-food-and-phytopharmaceuticals.html	news-highlights	2	en	page
https://ipc.gov.in/news-highlights/1503-adrms-made-easy-a-step-by-step-guide-to-medical-device-adverse-event-reporting-under-materiovigilance-programme-of-india.html	news-highlights	2	en	page
https://ipc.gov.in/news-highlights/1504-applications-open-mvpi-internship-programme-2027.html	news-highlights	2	en	page
https://ipc.gov.in/news-highlights/8-category-en/1168-recognition-and-acceptance-of-indian-pharmacopoeia-in-foreign-countries.html	news-highlights	3	en	page
https://ipc.gov.in/orders-circulars-notices.html	orders-circulars-notices	1	en	page
https://ipc.gov.in/orders-circulars-notices/orders-circulars-notices.html	orders-circulars-notices	2	en	page
https://ipc.gov.in/pharmacopoeial-harmonization.html	pharmacopoeial-harmonization	1	en	page
https://ipc.gov.in/related-website-links.html	related-website-links	1	en	page
https://ipc.gov.in/related-website-links/websitelinks.html	related-website-links	2	en	page
https://ipc.gov.in/rti.html	rti	1	en	page
https://ipc.gov.in/rti/8-category-en/618-manuals-under-rti.html	rti	3	en	page
https://ipc.gov.in/rti/8-category-en/619-general-information.html	rti	3	en	page
https://ipc.gov.in/shop/	shop	2	en	other
https://ipc.gov.in/tenders.html	tenders	1	en	page
