path	type	lang_tree	template	title	bytes
/	html	en	T1-home-featured	Home - Indian Pharmacopoeia Commission	66888
/1.1-	html	en	T2-article-detail	Home - En - Indian Pharmacopoeia Commission	76926
/29	html	en	T2-article-detail	RTI - Indian Pharmacopoeia Commission	67967
/404-page-not-found.html	html	en	T2-article-detail	404 - Page Not Found - Indian Pharmacopoeia Commission	55253
/8-category-en.feed	html	en	T4-category-list	English Category - Indian Pharmacopoeia Commission	72255
/8-category-en.html	html	en	T4-category-list	English Category - Indian Pharmacopoeia Commission	72255
/8-category-en/1-article-en-gb.html	html	en	T2-article-detail	Home - En - Indian Pharmacopoeia Commission	77014
/8-category-en/1020-applications-are-invited-for-filling-up-of-the-four-posts-upper-division-clerk-through-deputation-including-short-term-contract-basis.html	html	en	T2-article-detail	Applications are invited for filling up of the four posts Upper Division Clerk through Deputation (including short term contract) basis. - Indian Pharmacopoeia Commission	68572
/8-category-en/1021-covid-appropriate-behavior-guidelines.html	html	en	T2-article-detail	COVID Appropriate Behavior Guidelines - Indian Pharmacopoeia Commission	67932
/8-category-en/1033-pdg-welcomes-indian-pharmacopoeia-commission-to-pilot-for-global-expansion-2.html	html	en	T2-article-detail	PDG welcomes Indian Pharmacopoeia Commission to pilot for global expansion - Indian Pharmacopoeia Commission	68156
/8-category-en/1089-drug-alerts-2023.html	html	en	T2-article-detail	Drug Alerts 2023 - Indian Pharmacopoeia Commission	71777
/8-category-en/1274-year-2024.html	html	en	T2-article-detail	Year 2024 - Indian Pharmacopoeia Commission	71607
/8-category-en/1281-drugs-alerts-2024.html	html	en	T2-article-detail	Drug Alerts 2024 - Indian Pharmacopoeia Commission	72858
/8-category-en/1356-year-2025.html	html	en	T2-article-detail	Year 2025 - Indian Pharmacopoeia Commission	70865
/8-category-en/1433-year-2026.html	html	en	T2-article-detail	Year 2026 - Indian Pharmacopoeia Commission	69158
/8-category-en/218-benefit-of-one-day-awareness-program-on-indian-pharmacopoeia-and-indian-pharmacopoeia-reference-standards.html	html	en	T2-article-detail	Benefit of One day awareness program on Indian Pharmacopoeia and Indian Pharmacopoeia Reference Standards - Indian Pharmacopoeia Commission	69818
/8-category-en/264-protocol-of-ip-prednisone-tablet-for-dissolution-apparatus-calibration.html	html	en	T2-article-detail	Protocol of IP Prednisone Tablet for Dissolution Apparatus Calibration - Indian Pharmacopoeia Commission	68195
/8-category-en/284-training-programme-3.html	html	en	T2-article-detail	Training Programme - Indian Pharmacopoeia Commission	84895
/8-category-en/414-ministry-circulars.html	html	en	T2-article-detail	Ministry Circulars - Indian Pharmacopoeia Commission	67969
/8-category-en/415-office-orders.html	html	en	T2-article-detail	Office Orders - Indian Pharmacopoeia Commission	68309
/8-category-en/416-drug-safety-alerts.html	html	en	T2-article-detail	Drugs Safety Alerts for Sensitisation of Healthcare Professionals - Indian Pharmacopoeia Commission	70507
/8-category-en/417-drug-alerts-2016.html	html	en	T2-article-detail	Drug Alerts 2016 - Indian Pharmacopoeia Commission	70382
/8-category-en/418-drug-alerts-2017.html	html	en	T2-article-detail	Drug Alerts 2017 - Indian Pharmacopoeia Commission	73063
/8-category-en/419-mou-between-ipc,ncc-pvpi-and-nabh.html	html	en	T2-article-detail	MoU between IPC,NCC-PvPI and NABH - Indian Pharmacopoeia Commission	69447
/8-category-en/420-adrs-reporting-status-of-amcs.html	html	en	T2-article-detail	ADRs Reporting Status of AMCs - Indian Pharmacopoeia Commission	70538
/8-category-en/421-pvpi-newsletters.html	html	en	T2-article-detail	PvPI Newsletters - Indian Pharmacopoeia Commission	81256
/8-category-en/422-regulatory-actions.html	html	en	T2-article-detail	Regulatory Actions based on PvPI recommendations - Indian Pharmacopoeia Commission	76803
/8-category-en/423-monthly-progress-report-pvpi.html	html	en	T2-article-detail	Monthly Progress Report (PvPI) - Indian Pharmacopoeia Commission	68548
/8-category-en/424-mpr-2015.html	html	en	T2-article-detail	Year 2015 - Indian Pharmacopoeia Commission	68881
/8-category-en/425-mpr-2016.html	html	en	T2-article-detail	Year 2016 - Indian Pharmacopoeia Commission	70386
/8-category-en/426-mpr-2017.html	html	en	T2-article-detail	Year 2017 - Indian Pharmacopoeia Commission	71080
/8-category-en/427-pvpi-recommendations-to-regulators.html	html	en	T2-article-detail	PvPI recommendations to Regulators - Indian Pharmacopoeia Commission	68587
/8-category-en/428-union-health-minister-inaugurated-the-38th-annual-meeting-of-representatives-of-national-pharmacovigilance-centres-participating-in-the-who-programme-for-international-drug-monitoring.html	html	en	T2-article-detail	Union Health Minister inaugurated the 38th Annual Meeting of Representatives of National Pharmacovigilance Centres participating in the WHO Programme for International Drug Monitoring - Indian Pharmacopoeia Commission	72328
/8-category-en/429-pvpi-frequently-asked-questions.html	html	en	T2-article-detail	PvPI-Frequently asked questions - Indian Pharmacopoeia Commission	77663
/8-category-en/430-adr-reporting-form-for-consumers-in-hindi-other-vernacular-languages.html	html	en	T2-article-detail	ADR Reporting Form for Consumers in Hindi &amp; other Vernacular Languages - Indian Pharmacopoeia Commission	71698
/8-category-en/432-launch-of-materiovigilance-programme-of-india-mvpi.html	html	en	T2-article-detail	Launch of Materiovigilance Programme of India (MvPI) - Indian Pharmacopoeia Commission	69870
/8-category-en/432-launch-of-materiovigilance-programme-of-india-mvpi.html%3C/a%3E.%20[Last%20accessed%20on%202018%20Aug%2028].	html	en	T4-category-list	English Category - Indian Pharmacopoeia Commission	72479
/8-category-en/432-launch-of-materiovigilance-programme-of-india-mvpi.html%5C	html	en	T2-article-detail	Launch of Materiovigilance Programme of India (MvPI) - Indian Pharmacopoeia Commission	69873
/8-category-en/546-teneligliptin-tablets-16-05-2018.html	html	en	T2-article-detail	Teneligliptin Tablets (16-05-2018) - Indian Pharmacopoeia Commission	80244
/8-category-en/547-venlafaxine-hydrochloride-16-05-208.html	html	en	T2-article-detail	Venlafaxine Hydrochloride (16-05-208) - Indian Pharmacopoeia Commission	77587
/8-category-en/548-venlafaxine-prolonged-release-capsules-16-05-2018.html	html	en	T2-article-detail	Venlafaxine Prolonged-release Capsules (16-05-2018) - Indian Pharmacopoeia Commission	81939
/8-category-en/549-venlafaxine-tablets-16-05-2018.html	html	en	T2-article-detail	Venlafaxine Tablets (16-05-2018) - Indian Pharmacopoeia Commission	83602
/8-category-en/550-zaleplon-12-04-2018.html	html	en	T2-article-detail	Zaleplon (12-04-2018) - Indian Pharmacopoeia Commission	85666
/8-category-en/551-zaleplon-capsules-12-04-2018.html	html	en	T2-article-detail	Zaleplon Capsules (12-04-2018) - Indian Pharmacopoeia Commission	83064
/8-category-en/562-adr-rs-2018.html	html	en	T2-article-detail	Year 2018 - Indian Pharmacopoeia Commission	69884
/8-category-en/563-adr-rs-2017.html	html	en	T2-article-detail	Year 2017 - Indian Pharmacopoeia Commission	70880
/8-category-en/565-adr-rs-2016.html	html	en	T2-article-detail	Year 2016 - Indian Pharmacopoeia Commission	68555
/8-category-en/569-mpr-2018.html	html	en	T2-article-detail	Year 2018 - Indian Pharmacopoeia Commission	68494
